sim_time, my_robot/rail_cart_joint?0/position_1
0.393, -1.08027e-11
0.394, 1.07434e-11
0.395, 1.03428e-11
0.396, -1.12046e-11
0.397, -1.07989e-11
0.398, 1.07472e-11
0.399, 1.03464e-11
0.4, -1.1201e-11
0.401, -1.07954e-11
0.402, 1.0751e-11
0.403, 1.03504e-11
0.404, -1.1197e-11
0.405, -1.07914e-11
0.406, 1.07552e-11
0.407, 1.03546e-11
0.408, -1.11928e-11
0.409, -1.07871e-11
0.41, 1.07594e-11
0.411, 1.03588e-11
0.412, -1.11886e-11
0.413, -1.07829e-11
0.414, 1.07636e-11
0.415, 1.0363e-11
0.416, -1.11844e-11
0.417, -1.07787e-11
0.418, 1.07678e-11
0.419, 1.03673e-11
0.42, -1.11802e-11
0.421, -1.07745e-11
0.422, 1.0772e-11
0.423, 1.03715e-11
0.424, -1.11757e-11
0.425, -1.07698e-11
0.426, 1.07767e-11
0.427, 1.03761e-11
0.428, -1.11713e-11
0.429, -1.07654e-11
0.43, 1.07812e-11
0.431, 1.03806e-11
0.432, -1.11664e-11
0.433, -1.07605e-11
0.434, 1.0786e-11
0.435, 1.03855e-11
0.436, -1.11615e-11
0.437, -1.07556e-11
0.438, 1.07909e-11
0.439, 1.03908e-11
0.44, -1.11562e-11
0.441, -1.07503e-11
0.442, 1.07963e-11
0.443, 1.03961e-11
0.444, -1.11511e-11
0.445, -1.07452e-11
0.446, 1.08014e-11
0.447, 1.04012e-11
0.448, -1.11458e-11
0.449, -1.07399e-11
0.45, 1.08067e-11
0.451, 1.04063e-11
0.452, -1.11404e-11
0.453, -1.07347e-11
0.454, 1.08118e-11
0.455, 1.04114e-11
0.456, -1.11353e-11
0.457, -1.07296e-11
0.458, 1.08169e-11
0.459, 1.04166e-11
0.46, -1.11302e-11
0.461, -1.07243e-11
0.462, 1.08222e-11
0.463, 1.04219e-11
0.464, -1.11249e-11
0.465, -1.0719e-11
0.466, 1.08276e-11
0.467, 1.04272e-11
0.468, -1.11193e-11
0.469, -1.07134e-11
0.47, 1.08333e-11
0.471, 1.04328e-11
0.472, -1.11138e-11
0.473, -1.07079e-11
0.474, 1.08389e-11
0.475, 1.04385e-11
0.476, -1.1108e-11
0.477, -1.07021e-11
0.478, 1.08447e-11
0.479, 1.04445e-11
0.48, -1.1102e-11
