sim_time, my_robot/cart?world_linear_velocity/x_1
0.322, 1.47455e-11
0.323, -3.56769e-11
0.324, -1.37097e-11
0.325, 3.6537e-11
0.326, 1.47749e-11
0.327, -3.56509e-11
0.328, -1.3688e-11
0.329, 3.65629e-11
0.33, 1.47967e-11
0.331, -3.56288e-11
0.332, -1.36624e-11
0.333, 3.65927e-11
0.334, 1.48261e-11
0.335, -3.56029e-11
0.336, -1.36406e-11
0.337, 3.66071e-11
0.338, 1.48479e-11
0.339, -3.55769e-11
0.34, -1.36187e-11
0.341, 3.66368e-11
0.342, 1.48736e-11
0.343, -3.55511e-11
0.344, -1.35892e-11
0.345, 3.66628e-11
0.346, 1.48993e-11
0.347, -3.55252e-11
0.348, -1.35636e-11
0.349, 3.66887e-11
0.35, 1.49287e-11
0.351, -3.54954e-11
0.352, -1.3538e-11
0.353, 3.67145e-11
0.354, 1.49545e-11
0.355, -3.54697e-11
0.356, -1.35084e-11
0.357, 3.67441e-11
0.358, 1.49763e-11
0.359, -3.54476e-11
0.36, -1.34789e-11
0.361, 3.677e-11
0.362, 1.50058e-11
0.363, -3.5418e-11
0.364, -1.34609e-11
0.365, 3.67958e-11
0.366, 1.50315e-11
0.367, -3.53998e-11
0.368, -1.34352e-11
0.369, 3.68216e-11
0.37, 1.50533e-11
0.371, -3.53741e-11
0.372, -1.34134e-11
0.373, 3.68435e-11
0.374, 1.50789e-11
0.375, -3.53444e-11
0.376, -1.33839e-11
0.377, 3.68694e-11
0.378, 1.51084e-11
0.379, -3.53186e-11
0.38, -1.33583e-11
0.381, 3.68951e-11
0.382, 1.5134e-11
0.383, -3.5289e-11
0.384, -1.33328e-11
0.385, 3.69249e-11
0.386, 1.51595e-11
0.387, -3.52631e-11
0.388, -1.32996e-11
0.389, 3.69546e-11
0.39, 1.51851e-11
0.391, -3.52373e-11
0.392, -1.32741e-11
0.393, 3.69765e-11
0.394, 1.52106e-11
0.395, -3.52076e-11
0.396, -1.32523e-11
0.397, 3.70024e-11
0.398, 1.52362e-11
0.399, -3.51894e-11
0.4, -1.32268e-11
0.401, 3.70282e-11
0.402, 1.52579e-11
0.403, -3.51674e-11
0.404, -1.3205e-11
0.405, 3.70502e-11
0.406, 1.52796e-11
0.407, -3.51378e-11
0.408, -1.31794e-11
0.409, 3.70799e-11
0.41, 1.5309e-11
0.411, -3.5112e-11
0.412, -1.315e-11
0.413, 3.71018e-11
0.414, 1.53385e-11
0.415, -3.50824e-11
0.416, -1.31283e-11
0.417, 3.71314e-11
0.418, 1.5364e-11
0.419, -3.50604e-11
0.42, -1.30988e-11
0.421, 3.71572e-11
0.422, 1.53896e-11
0.423, -3.5027e-11
0.424, -1.30694e-11
0.425, 3.71906e-11
0.426, 1.54153e-11
0.427, -3.50051e-11
0.428, -1.30438e-11
0.429, 3.72087e-11
0.43, 1.54447e-11
0.431, -3.49755e-11
0.432, -1.30182e-11
0.433, 3.72344e-11
0.434, 1.54665e-11
0.435, -3.49536e-11
0.436, -1.29964e-11
0.437, 3.72601e-11
0.438, 1.54883e-11
0.439, -3.49357e-11
0.44, -1.29747e-11
0.441, 3.72859e-11
0.442, 1.5514e-11
0.443, -3.491e-11
0.444, -1.29491e-11
0.445, 3.73039e-11
0.446, 1.55394e-11
0.447, -3.48803e-11
0.448, -1.29196e-11
0.449, 3.73334e-11
0.45, 1.55689e-11
0.451, -3.48547e-11
0.452, -1.28979e-11
0.453, 3.73591e-11
0.454, 1.55983e-11
0.455, -3.4829e-11
0.456, -1.28723e-11
0.457, 3.73886e-11
0.458, 1.56161e-11
0.459, -3.47994e-11
0.46, -1.2843e-11
0.461, 3.74181e-11
0.462, 1.56416e-11
0.463, -3.47738e-11
0.464, -1.28175e-11
0.465, 3.74399e-11
0.466, 1.5671e-11
0.467, -3.47442e-11
0.468, -1.27919e-11
0.469, 3.74656e-11
0.47, 1.57003e-11
0.471, -3.47262e-11
0.472, -1.27665e-11
0.473, 3.74875e-11
0.474, 1.57181e-11
0.475, -3.47043e-11
0.476, -1.27448e-11
0.477, 3.75133e-11
0.478, 1.57436e-11
0.479, -3.46786e-11
0.48, -1.27193e-11
0.481, 3.75427e-11
0.482, 1.57691e-11
0.483, -3.46491e-11
0.484, -1.269e-11
0.485, 3.75684e-11
0.486, 1.57984e-11
0.487, -3.46196e-11
0.488, -1.26684e-11
0.489, 3.75942e-11
0.49, 1.58239e-11
0.491, -3.45938e-11
0.492, -1.26352e-11
0.493, 3.76236e-11
0.494, 1.58494e-11
0.495, -3.45682e-11
0.496, -1.26097e-11
0.497, 3.76532e-11
0.498, 1.58749e-11
0.499, -3.45425e-11
0.5, -1.2588e-11
0.501, 3.7675e-11
0.502, 1.59004e-11
0.503, -3.45169e-11
0.504, -1.25587e-11
0.505, 3.76968e-11
0.506, 1.59259e-11
0.507, -3.44951e-11
0.508, -1.25408e-11
0.509, 3.77225e-11
0.51, 1.59476e-11
0.511, -3.44694e-11
0.512, -1.25153e-11
0.513, 3.77404e-11
0.514, 1.59731e-11
0.515, -3.44476e-11
0.516, -1.24936e-11
0.517, 3.77699e-11
0.518, 1.59986e-11
0.519, -3.44181e-11
0.52, -1.24605e-11
0.521, 3.77994e-11
0.522, 1.60279e-11
0.523, -3.43925e-11
0.524, -1.2435e-11
0.525, 3.78289e-11
0.526, 1.60534e-11
0.527, -3.43593e-11
0.528, -1.24057e-11
0.529, 3.78544e-11
0.53, 1.60827e-11
0.531, -3.43374e-11
0.532, -1.23802e-11
0.533, 3.78838e-11
0.534, 1.61083e-11
0.535, -3.43081e-11
0.536, -1.23508e-11
0.537, 3.79056e-11
0.538, 1.61299e-11
0.539, -3.42863e-11
0.54, -1.23292e-11
0.541, 3.79273e-11
0.542, 1.61554e-11
0.543, -3.42646e-11
0.544, -1.23113e-11
0.545, 3.79491e-11
