sim_time, my_robot/cart?world_linear_acceleration/x_1
0.544, 2.3575e-08
0.545, 4.86923e-08
0.546, -2.33898e-08
0.547, -4.88519e-08
0.548, 2.3571e-08
0.549, 4.86962e-08
0.55, -2.33937e-08
0.551, -4.88518e-08
0.552, 2.35786e-08
0.553, 4.86962e-08
0.554, -2.33976e-08
0.555, -4.88441e-08
0.556, 2.35747e-08
0.557, 4.86887e-08
0.558, -2.339e-08
0.559, -4.88517e-08
0.56, 2.35747e-08
0.561, 4.86964e-08
0.562, -2.33977e-08
0.563, -4.88477e-08
0.564, 2.35784e-08
0.565, 4.86964e-08
0.566, -2.33978e-08
0.567, -4.88477e-08
0.568, 2.35745e-08
0.569, 4.86966e-08
0.57, -2.3398e-08
0.571, -4.88476e-08
0.572, 2.35782e-08
0.573, 4.86928e-08
0.574, -2.3398e-08
0.575, -4.88474e-08
0.576, 2.35704e-08
0.577, 4.86968e-08
0.578, -2.33943e-08
0.579, -4.88512e-08
0.58, 2.35741e-08
0.581, 4.86969e-08
0.582, -2.33983e-08
0.583, -4.88472e-08
0.584, 2.35702e-08
0.585, 4.8697e-08
0.586, -2.33984e-08
0.587, -4.88432e-08
0.588, 2.35777e-08
0.589, 4.86971e-08
0.59, -2.33946e-08
0.591, -4.88508e-08
0.592, 2.35699e-08
0.593, 4.86973e-08
0.594, -2.33949e-08
0.595, -4.88468e-08
0.596, 2.35774e-08
0.597, 4.86936e-08
0.598, -2.3395e-08
0.599, -4.88543e-08
0.6, 2.35773e-08
0.601, 4.86975e-08
0.602, -2.33989e-08
0.603, -4.88466e-08
0.604, 2.35733e-08
0.605, 4.86977e-08
0.606, -2.33991e-08
0.607, -4.88464e-08
0.608, 2.3577e-08
0.609, 4.86902e-08
0.61, -2.33916e-08
0.611, -4.885e-08
0.612, 2.35729e-08
0.613, 4.86903e-08
0.614, -2.33956e-08
0.615, -4.88461e-08
0.616, 2.3569e-08
0.617, 4.86982e-08
0.618, -2.33995e-08
0.619, -4.88422e-08
0.62, 2.35727e-08
0.621, 4.86945e-08
0.622, -2.3392e-08
0.623, -4.88534e-08
0.624, 2.35764e-08
0.625, 4.86984e-08
0.626, -2.3396e-08
0.627, -4.88496e-08
0.628, 2.35763e-08
0.629, 4.86946e-08
0.63, -2.3396e-08
0.631, -4.88418e-08
0.632, 2.35724e-08
0.633, 4.86948e-08
0.634, -2.34e-08
0.635, -4.88456e-08
0.636, 2.35762e-08
0.637, 4.86948e-08
0.638, -2.33963e-08
0.639, -4.88493e-08
0.64, 2.35761e-08
0.641, 4.86911e-08
0.642, -2.33963e-08
0.643, -4.88454e-08
0.644, 2.3576e-08
