sim_time, my_robot/rail_cart_joint?0/position
6.492, -5.78006e-09
6.493, -5.79086e-09
6.494, -5.78053e-09
6.495, -5.79218e-09
6.496, -5.825e-09
6.497, -5.83588e-09
6.498, -5.82565e-09
6.499, -5.83738e-09
6.5, -5.87028e-09
6.501, -5.88125e-09
6.502, -5.87111e-09
6.503, -5.88293e-09
6.504, -5.91592e-09
6.505, -5.92697e-09
6.506, -5.91691e-09
6.507, -5.92882e-09
6.508, -5.9619e-09
6.509, -5.97304e-09
6.51, -5.96307e-09
6.511, -5.97507e-09
6.512, -6.00823e-09
6.513, -6.01947e-09
6.514, -6.00959e-09
6.515, -6.02167e-09
6.516, -6.05493e-09
6.517, -6.06625e-09
6.518, -6.05646e-09
6.519, -6.06863e-09
6.52, -6.10198e-09
6.521, -6.11339e-09
6.522, -6.10369e-09
6.523, -6.11595e-09
6.524, -6.14939e-09
6.525, -6.16089e-09
6.526, -6.15128e-09
6.527, -6.16364e-09
6.528, -6.19716e-09
6.529, -6.20876e-09
6.53, -6.19924e-09
6.531, -6.21169e-09
6.532, -6.2453e-09
6.533, -6.25699e-09
6.534, -6.24756e-09
6.535, -6.26011e-09
6.536, -6.29382e-09
6.537, -6.3056e-09
6.538, -6.29626e-09
6.539, -6.3089e-09
6.54, -6.3427e-09
6.541, -6.35458e-09
6.542, -6.34533e-09
6.543, -6.35806e-09
6.544, -6.39196e-09
6.545, -6.40393e-09
6.546, -6.39478e-09
6.547, -6.40761e-09
6.548, -6.4416e-09
6.549, -6.45366e-09
6.55, -6.44461e-09
6.551, -6.45753e-09
6.552, -6.49162e-09
6.553, -6.50378e-09
6.554, -6.49482e-09
6.555, -6.50783e-09
6.556, -6.54202e-09
6.557, -6.55428e-09
6.558, -6.54542e-09
6.559, -6.55853e-09
6.56, -6.59281e-09
6.561, -6.60516e-09
6.562, -6.5964e-09
6.563, -6.60961e-09
6.564, -6.64399e-09
6.565, -6.65644e-09
6.566, -6.64778e-09
6.567, -6.66108e-09
6.568, -6.69556e-09
6.569, -6.70811e-09
6.57, -6.69955e-09
6.571, -6.71295e-09
6.572, -6.74753e-09
6.573, -6.76018e-09
6.574, -6.75171e-09
6.575, -6.76522e-09
6.576, -6.7999e-09
