sim_time, my_robot/rail_cart_joint?0/velocity
6.556, -3.03432e-08
6.557, -1.22181e-08
6.558, 5.01959e-09
6.559, -1.3151e-08
6.56, -3.04402e-08
6.561, -1.23153e-08
6.562, 4.92222e-09
6.563, -1.32486e-08
6.564, -3.05379e-08
6.565, -1.24132e-08
6.566, 4.82411e-09
6.567, -1.33469e-08
6.568, -3.06364e-08
6.569, -1.25119e-08
6.57, 4.72524e-09
6.571, -1.34459e-08
6.572, -3.07356e-08
6.573, -1.26113e-08
6.574, 4.62562e-09
6.575, -1.35457e-08
6.576, -3.08356e-08
6.577, -1.27115e-08
6.578, 4.52522e-09
6.579, -1.36463e-08
6.58, -3.09364e-08
6.581, -1.28125e-08
6.582, 4.42407e-09
6.583, -1.37477e-08
6.584, -3.1038e-08
6.585, -1.29142e-08
6.586, 4.32213e-09
6.587, -1.38498e-08
6.588, -3.11403e-08
6.589, -1.30167e-08
6.59, 4.21942e-09
6.591, -1.39527e-08
6.592, -3.12434e-08
6.593, -1.312e-08
6.594, 4.11592e-09
6.595, -1.40564e-08
6.596, -3.13473e-08
6.597, -1.32241e-08
6.598, 4.01162e-09
6.599, -1.41609e-08
6.6, -3.1452e-08
6.601, -1.3329e-08
6.602, 3.90654e-09
6.603, -1.42662e-08
6.604, -3.15575e-08
6.605, -1.34347e-08
6.606, 3.80064e-09
6.607, -1.43723e-08
6.608, -3.16638e-08
6.609, -1.35412e-08
6.61, 3.69393e-09
6.611, -1.44792e-08
6.612, -3.17709e-08
6.613, -1.36485e-08
6.614, 3.58641e-09
6.615, -1.45869e-08
6.616, -3.18788e-08
6.617, -1.37567e-08
6.618, 3.47807e-09
6.619, -1.46955e-08
6.62, -3.19876e-08
6.621, -1.38656e-08
6.622, 3.36889e-09
6.623, -1.48049e-08
6.624, -3.20972e-08
6.625, -1.39754e-08
6.626, 3.25888e-09
6.627, -1.49151e-08
6.628, -3.22076e-08
6.629, -1.40861e-08
6.63, 3.14802e-09
6.631, -1.50261e-08
6.632, -3.23189e-08
6.633, -1.41976e-08
6.634, 3.03633e-09
6.635, -1.51381e-08
6.636, -3.2431e-08
6.637, -1.43099e-08
6.638, 2.92377e-09
6.639, -1.52508e-08
6.64, -3.2544e-08
6.641, -1.44231e-08
6.642, 2.81034e-09
6.643, -1.53645e-08
6.644, -3.26578e-08
6.645, -1.45372e-08
6.646, 2.69605e-09
6.647, -1.5479e-08
6.648, -3.27726e-08
6.649, -1.46521e-08
6.65, 2.58089e-09
6.651, -1.55944e-08
6.652, -3.28882e-08
6.653, -1.47679e-08
6.654, 2.46485e-09
6.655, -1.57106e-08
6.656, -3.30047e-08
6.657, -1.48847e-08
6.658, 2.34792e-09
6.659, -1.58278e-08
6.66, -3.3122e-08
6.661, -1.50023e-08
6.662, 2.23009e-09
6.663, -1.59458e-08
6.664, -3.32403e-08
6.665, -1.51208e-08
6.666, 2.11136e-09
6.667, -1.60648e-08
6.668, -3.33595e-08
6.669, -1.52402e-08
6.67, 1.99172e-09
6.671, -1.61847e-08
6.672, -3.34796e-08
6.673, -1.53605e-08
6.674, 1.87116e-09
6.675, -1.63055e-08
6.676, -3.36006e-08
6.677, -1.54817e-08
6.678, 1.74969e-09
6.679, -1.64272e-08
6.68, -3.37226e-08
6.681, -1.56039e-08
6.682, 1.62727e-09
6.683, -1.65498e-08
6.684, -3.38454e-08
6.685, -1.5727e-08
6.686, 1.50394e-09
6.687, -1.66734e-08
6.688, -3.39693e-08
6.689, -1.58511e-08
6.69, 1.37965e-09
6.691, -1.67979e-08
6.692, -3.4094e-08
6.693, -1.59761e-08
6.694, 1.2544e-09
6.695, -1.69234e-08
6.696, -3.42197e-08
6.697, -1.6102e-08
6.698, 1.12819e-09
6.699, -1.70498e-08
6.7, -3.43464e-08
6.701, -1.6229e-08
6.702, 1.00103e-09
6.703, -1.71772e-08
6.704, -3.44741e-08
6.705, -1.63569e-08
6.706, 8.72891e-10
6.707, -1.73056e-08
6.708, -3.46027e-08
6.709, -1.64858e-08
6.71, 7.43769e-10
6.711, -1.7435e-08
6.712, -3.47323e-08
6.713, -1.66156e-08
6.714, 6.1366e-10
6.715, -1.75654e-08
6.716, -3.48629e-08
6.717, -1.67465e-08
6.718, 4.82554e-10
6.719, -1.76967e-08
6.72, -3.49945e-08
6.721, -1.68783e-08
6.722, 3.5044e-10
6.723, -1.78291e-08
6.724, -3.51272e-08
6.725, -1.70112e-08
6.726, 2.17322e-10
6.727, -1.79624e-08
6.728, -3.52608e-08
6.729, -1.71451e-08
6.73, 8.31806e-11
6.731, -1.80968e-08
6.732, -3.53954e-08
6.733, -1.728e-08
6.734, -5.1991e-11
6.735, -1.82323e-08
6.736, -3.55311e-08
6.737, -1.74159e-08
6.738, -1.88189e-10
6.739, -1.83687e-08
6.74, -3.56678e-08
6.741, -1.75529e-08
6.742, -3.25434e-10
6.743, -1.85062e-08
6.744, -3.58056e-08
6.745, -1.7691e-08
6.746, -4.63734e-10
6.747, -1.86448e-08
6.748, -3.59444e-08
6.749, -1.783e-08
6.75, -6.03089e-10
6.751, -1.87844e-08
6.752, -3.60843e-08
6.753, -1.79702e-08
6.754, -7.43508e-10
6.755, -1.89251e-08
6.756, -3.62253e-08
6.757, -1.81114e-08
6.758, -8.85005e-10
6.759, -1.90669e-08
6.76, -3.63673e-08
6.761, -1.82537e-08
6.762, -1.02759e-09
6.763, -1.92097e-08
6.764, -3.65104e-08
6.765, -1.83971e-08
6.766, -1.17126e-09
6.767, -1.93537e-08
6.768, -3.66547e-08
6.769, -1.85416e-08
6.77, -1.31603e-09
6.771, -1.94987e-08
6.772, -3.68e-08
6.773, -1.86872e-08
6.774, -1.46191e-09
6.775, -1.96449e-08
6.776, -3.69464e-08
6.777, -1.88339e-08
6.778, -1.60891e-09
6.779, -1.97922e-08
6.78, -3.7094e-08
6.781, -1.89818e-08
6.782, -1.75703e-09
6.783, -1.99406e-08
6.784, -3.72427e-08
6.785, -1.91308e-08
6.786, -1.90628e-09
6.787, -2.00901e-08
6.788, -3.73925e-08
6.789, -1.92809e-08
6.79, -2.05668e-09
6.791, -2.02408e-08
6.792, -3.75435e-08
6.793, -1.94321e-08
6.794, -2.20823e-09
6.795, -2.03926e-08
6.796, -3.76956e-08
6.797, -1.95846e-08
6.798, -2.36095e-09
6.799, -2.05456e-08
6.8, -3.78489e-08
6.801, -1.97381e-08
6.802, -2.51483e-09
6.803, -2.06998e-08
6.804, -3.80034e-08
6.805, -1.98929e-08
6.806, -2.66988e-09
6.807, -2.08552e-08
6.808, -3.8159e-08
6.809, -2.00488e-08
6.81, -2.82613e-09
6.811, -2.10117e-08
6.812, -3.83159e-08
6.813, -2.0206e-08
6.814, -2.98357e-09
6.815, -2.11694e-08
6.816, -3.84739e-08
6.817, -2.03643e-08
6.818, -3.14222e-09
6.819, -2.13284e-08
6.82, -3.86332e-08
6.821, -2.05239e-08
6.822, -3.30208e-09
6.823, -2.14886e-08
6.824, -3.87936e-08
6.825, -2.06847e-08
6.826, -3.46316e-09
6.827, -2.165e-08
6.828, -3.89553e-08
6.829, -2.08467e-08
6.83, -3.62548e-09
6.831, -2.18126e-08
6.832, -3.91183e-08
6.833, -2.10099e-08
6.834, -3.78904e-09
6.835, -2.19765e-08
6.836, -3.92825e-08
6.837, -2.11744e-08
6.838, -3.95386e-09
6.839, -2.21416e-08
6.84, -3.94479e-08
6.841, -2.13402e-08
6.842, -4.11993e-09
6.843, -2.2308e-08
6.844, -3.96146e-08
6.845, -2.15072e-08
6.846, -4.28728e-09
6.847, -2.24756e-08
6.848, -3.97826e-08
6.849, -2.16755e-08
6.85, -4.45591e-09
6.851, -2.26446e-08
6.852, -3.99519e-08
6.853, -2.18451e-08
6.854, -4.62583e-09
6.855, -2.28148e-08
6.856, -4.01224e-08
6.857, -2.2016e-08
6.858, -4.79704e-09
6.859, -2.29864e-08
6.86, -4.02943e-08
6.861, -2.21882e-08
6.862, -4.96957e-09
6.863, -2.31592e-08
6.864, -4.04675e-08
6.865, -2.23617e-08
6.866, -5.14343e-09
6.867, -2.33334e-08
6.868, -4.0642e-08
6.869, -2.25366e-08
6.87, -5.3186e-09
6.871, -2.35089e-08
6.872, -4.08179e-08
6.873, -2.27128e-08
6.874, -5.49513e-09
6.875, -2.36858e-08
6.876, -4.09951e-08
6.877, -2.28903e-08
6.878, -5.67301e-09
6.879, -2.3864e-08
6.88, -4.11736e-08
6.881, -2.30692e-08
6.882, -5.85224e-09
6.883, -2.40436e-08
6.884, -4.13535e-08
6.885, -2.32495e-08
6.886, -6.03285e-09
6.887, -2.42246e-08
6.888, -4.15348e-08
6.889, -2.34311e-08
6.89, -6.21484e-09
6.891, -2.44069e-08
6.892, -4.17175e-08
6.893, -2.36141e-08
6.894, -6.39822e-09
6.895, -2.45906e-08
6.896, -4.19016e-08
6.897, -2.37986e-08
6.898, -6.58301e-09
6.899, -2.47758e-08
6.9, -4.20871e-08
6.901, -2.39844e-08
6.902, -6.76921e-09
6.903, -2.49623e-08
6.904, -4.2274e-08
6.905, -2.41717e-08
6.906, -6.95685e-09
6.907, -2.51503e-08
6.908, -4.24624e-08
6.909, -2.43604e-08
6.91, -7.14592e-09
6.911, -2.53397e-08
6.912, -4.26521e-08
6.913, -2.45505e-08
6.914, -7.33643e-09
6.915, -2.55306e-08
6.916, -4.28434e-08
6.917, -2.47422e-08
6.918, -7.5284e-09
6.919, -2.57229e-08
6.92, -4.30361e-08
6.921, -2.49352e-08
6.922, -7.72184e-09
6.923, -2.59168e-08
6.924, -4.32303e-08
6.925, -2.51298e-08
6.926, -7.91677e-09
6.927, -2.61121e-08
6.928, -4.34259e-08
6.929, -2.53258e-08
6.93, -8.11318e-09
6.931, -2.63088e-08
6.932, -4.36231e-08
6.933, -2.55234e-08
6.934, -8.31109e-09
6.935, -2.65071e-08
6.936, -4.38218e-08
6.937, -2.57224e-08
6.938, -8.51053e-09
6.939, -2.6707e-08
6.94, -4.4022e-08
6.941, -2.5923e-08
6.942, -8.71149e-09
6.943, -2.69083e-08
6.944, -4.42237e-08
6.945, -2.61251e-08
6.946, -8.91399e-09
6.947, -2.71112e-08
6.948, -4.4427e-08
6.949, -2.63288e-08
6.95, -9.11804e-09
6.951, -2.73156e-08
6.952, -4.46318e-08
6.953, -2.6534e-08
6.954, -9.32365e-09
6.955, -2.75216e-08
6.956, -4.48382e-08
6.957, -2.67408e-08
6.958, -9.53083e-09
6.959, -2.77292e-08
6.96, -4.50462e-08
6.961, -2.69492e-08
6.962, -9.7396e-09
6.963, -2.79384e-08
6.964, -4.52557e-08
6.965, -2.71591e-08
6.966, -9.94997e-09
6.967, -2.81491e-08
6.968, -4.54669e-08
6.969, -2.73707e-08
6.97, -1.0162e-08
6.971, -2.83615e-08
6.972, -4.56797e-08
6.973, -2.75839e-08
6.974, -1.03756e-08
6.975, -2.85755e-08
6.976, -4.58941e-08
6.977, -2.77987e-08
6.978, -1.05908e-08
6.979, -2.87912e-08
6.98, -4.61102e-08
6.981, -2.80152e-08
6.982, -1.08077e-08
6.983, -2.90085e-08
6.984, -4.63279e-08
6.985, -2.82333e-08
6.986, -1.10262e-08
6.987, -2.92274e-08
6.988, -4.65473e-08
6.989, -2.84531e-08
6.99, -1.12464e-08
6.991, -2.94481e-08
6.992, -4.67683e-08
6.993, -2.86746e-08
6.994, -1.14684e-08
6.995, -2.96704e-08
6.996, -4.69911e-08
6.997, -2.88978e-08
6.998, -1.1692e-08
6.999, -2.98945e-08
7, -4.72156e-08
7.001, -2.91227e-08
7.002, -1.19173e-08
7.003, -3.01202e-08
7.004, -4.74417e-08
7.005, -2.93493e-08
7.006, -1.21443e-08
7.007, -3.03477e-08
7.008, -4.76696e-08
7.009, -2.95776e-08
7.01, -1.23731e-08
7.011, -3.05769e-08
7.012, -4.78993e-08
7.013, -2.98077e-08
7.014, -1.26036e-08
7.015, -3.08079e-08
7.016, -4.81307e-08
7.017, -3.00396e-08
7.018, -1.28359e-08
7.019, -3.10406e-08
7.02, -4.83639e-08
7.021, -3.02732e-08
7.022, -1.307e-08
7.023, -3.12751e-08
7.024, -4.85989e-08
7.025, -3.05086e-08
7.026, -1.33059e-08
7.027, -3.15114e-08
7.028, -4.88356e-08
7.029, -3.07458e-08
7.03, -1.35435e-08
7.031, -3.17496e-08
7.032, -4.90742e-08
7.033, -3.09849e-08
7.034, -1.3783e-08
7.035, -3.19895e-08
7.036, -4.93146e-08
7.037, -3.12257e-08
7.038, -1.40243e-08
7.039, -3.22313e-08
7.04, -4.95569e-08
7.041, -3.14684e-08
7.042, -1.42675e-08
7.043, -3.24749e-08
7.044, -4.98009e-08
7.045, -3.1713e-08
7.046, -1.45125e-08
7.047, -3.27204e-08
7.048, -5.00469e-08
7.049, -3.19594e-08
