sim_time, my_robot/cart?world_linear_velocity/x
6.367, -8.83931e-09
6.368, -8.83424e-09
6.369, -8.80087e-09
6.37, -8.83959e-09
6.371, -8.90697e-09
6.372, -8.90202e-09
6.373, -8.86878e-09
6.374, -8.90763e-09
6.375, -8.97513e-09
6.376, -8.97031e-09
6.377, -8.93721e-09
6.378, -8.97618e-09
6.379, -9.04382e-09
6.38, -9.03914e-09
6.381, -9.00616e-09
6.382, -9.04526e-09
6.383, -9.11304e-09
6.384, -9.10848e-09
6.385, -9.07564e-09
6.386, -9.11487e-09
6.387, -9.18278e-09
6.388, -9.17836e-09
6.389, -9.14565e-09
6.39, -9.18502e-09
6.391, -9.25306e-09
6.392, -9.24877e-09
6.393, -9.21619e-09
6.394, -9.2557e-09
6.395, -9.32387e-09
6.396, -9.31972e-09
6.397, -9.28728e-09
6.398, -9.32692e-09
6.399, -9.39523e-09
6.4, -9.39122e-09
6.401, -9.35891e-09
6.402, -9.39869e-09
6.403, -9.46714e-09
6.404, -9.46326e-09
6.405, -9.43109e-09
6.406, -9.47101e-09
6.407, -9.53959e-09
6.408, -9.53585e-09
6.409, -9.50382e-09
6.41, -9.54388e-09
6.411, -9.6126e-09
6.412, -9.609e-09
6.413, -9.57711e-09
6.414, -9.61731e-09
6.415, -9.68617e-09
6.416, -9.68271e-09
6.417, -9.65096e-09
6.418, -9.6913e-09
6.419, -9.7603e-09
6.42, -9.75698e-09
6.421, -9.72538e-09
6.422, -9.76586e-09
6.423, -9.835e-09
6.424, -9.83183e-09
6.425, -9.80036e-09
6.426, -9.84099e-09
6.427, -9.91027e-09
6.428, -9.90724e-09
6.429, -9.87592e-09
6.43, -9.9167e-09
6.431, -9.98613e-09
6.432, -9.98324e-09
6.433, -9.95206e-09
6.434, -9.99298e-09
6.435, -1.00626e-08
6.436, -1.00598e-08
6.437, -1.00288e-08
6.438, -1.00698e-08
6.439, -1.01396e-08
6.44, -1.0137e-08
6.441, -1.01061e-08
6.442, -1.01473e-08
6.443, -1.02172e-08
6.444, -1.02147e-08
6.445, -1.0184e-08
6.446, -1.02253e-08
6.447, -1.02954e-08
6.448, -1.02931e-08
