sim_time, my_robot/rail_cart_joint?0/velocity_1
0.667, -4.3845e-10
0.668, -1.77039e-08
0.669, 4.4602e-10
0.67, 1.77072e-08
0.671, -4.38425e-10
0.672, -1.77039e-08
0.673, 4.46045e-10
0.674, 1.77073e-08
0.675, -4.38404e-10
0.676, -1.77039e-08
0.677, 4.46063e-10
0.678, 1.77073e-08
0.679, -4.38383e-10
0.68, -1.77039e-08
0.681, 4.4608e-10
0.682, 1.77073e-08
0.683, -4.3837e-10
0.684, -1.77038e-08
0.685, 4.46082e-10
0.686, 1.77073e-08
0.687, -4.3836e-10
0.688, -1.77038e-08
0.689, 4.46106e-10
0.69, 1.77073e-08
0.691, -4.38342e-10
0.692, -1.77038e-08
0.693, 4.46132e-10
0.694, 1.77074e-08
0.695, -4.38317e-10
0.696, -1.77038e-08
0.697, 4.46153e-10
0.698, 1.77074e-08
0.699, -4.38287e-10
0.7, -1.77037e-08
0.701, 4.46162e-10
0.702, 1.77074e-08
0.703, -4.38282e-10
0.704, -1.77037e-08
0.705, 4.46188e-10
0.706, 1.77075e-08
0.707, -4.3826e-10
0.708, -1.77037e-08
0.709, 4.46209e-10
0.71, 1.77075e-08
0.711, -4.38235e-10
0.712, -1.77036e-08
0.713, 4.46214e-10
0.714, 1.77075e-08
0.715, -4.3823e-10
0.716, -1.77036e-08
0.717, 4.46235e-10
0.718, 1.77075e-08
0.719, -4.38217e-10
0.72, -1.77036e-08
0.721, 4.46252e-10
0.722, 1.77076e-08
0.723, -4.38192e-10
0.724, -1.77036e-08
0.725, 4.46261e-10
0.726, 1.77076e-08
0.727, -4.38181e-10
0.728, -1.77036e-08
0.729, 4.46291e-10
0.73, 1.77076e-08
0.731, -4.38154e-10
0.732, -1.77035e-08
0.733, 4.46313e-10
0.734, 1.77076e-08
0.735, -4.38131e-10
0.736, -1.77035e-08
0.737, 4.46338e-10
0.738, 1.77077e-08
0.739, -4.38106e-10
0.74, -1.77035e-08
0.741, 4.46347e-10
0.742, 1.77077e-08
0.743, -4.38086e-10
0.744, -1.77034e-08
0.745, 4.46365e-10
0.746, 1.77077e-08
0.747, -4.38066e-10
0.748, -1.77034e-08
0.749, 4.46382e-10
0.75, 1.77078e-08
0.751, -4.38048e-10
0.752, -1.77034e-08
0.753, 4.464e-10
0.754, 1.77078e-08
0.755, -4.38029e-10
0.756, -1.77034e-08
0.757, 4.46422e-10
0.758, 1.77078e-08
0.759, -4.38007e-10
0.76, -1.77033e-08
0.761, 4.46444e-10
0.762, 1.77078e-08
0.763, -4.37978e-10
0.764, -1.77033e-08
0.765, 4.46467e-10
0.766, 1.77079e-08
0.767, -4.37955e-10
0.768, -1.77033e-08
0.769, 4.46493e-10
0.77, 1.77079e-08
0.771, -4.3793e-10
0.772, -1.77032e-08
0.773, 4.46517e-10
0.774, 1.77079e-08
0.775, -4.37912e-10
0.776, -1.77032e-08
0.777, 4.46542e-10
0.778, 1.77079e-08
0.779, -4.37889e-10
0.78, -1.77032e-08
0.781, 4.46565e-10
0.782, 1.7708e-08
0.783, -4.37867e-10
0.784, -1.77032e-08
0.785, 4.46583e-10
0.786, 1.7708e-08
0.787, -4.37844e-10
0.788, -1.77031e-08
0.789, 4.46601e-10
0.79, 1.7708e-08
0.791, -4.37822e-10
0.792, -1.77031e-08
0.793, 4.46624e-10
0.794, 1.77081e-08
0.795, -4.37799e-10
0.796, -1.77031e-08
0.797, 4.46647e-10
0.798, 1.77081e-08
0.799, -4.37781e-10
0.8, -1.7703e-08
0.801, 4.46685e-10
0.802, 1.77081e-08
0.803, -4.37742e-10
0.804, -1.7703e-08
0.805, 4.46711e-10
0.806, 1.77082e-08
0.807, -4.37717e-10
0.808, -1.7703e-08
0.809, 4.46734e-10
0.81, 1.77082e-08
0.811, -4.37694e-10
0.812, -1.7703e-08
0.813, 4.46756e-10
0.814, 1.77082e-08
0.815, -4.37675e-10
0.816, -1.77029e-08
0.817, 4.46787e-10
0.818, 1.77083e-08
0.819, -4.37637e-10
0.82, -1.77029e-08
0.821, 4.46809e-10
0.822, 1.77083e-08
0.823, -4.37621e-10
0.824, -1.77029e-08
0.825, 4.46824e-10
0.826, 1.77083e-08
0.827, -4.37599e-10
0.828, -1.77028e-08
0.829, 4.46851e-10
0.83, 1.77083e-08
0.831, -4.37576e-10
0.832, -1.77028e-08
0.833, 4.46874e-10
0.834, 1.77084e-08
0.835, -4.3755e-10
0.836, -1.77028e-08
0.837, 4.46918e-10
0.838, 1.77084e-08
0.839, -4.37516e-10
0.84, -1.77027e-08
0.841, 4.4694e-10
0.842, 1.77084e-08
0.843, -4.37494e-10
0.844, -1.77027e-08
0.845, 4.4696e-10
0.846, 1.77085e-08
0.847, -4.37469e-10
0.848, -1.77027e-08
0.849, 4.46985e-10
